ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BEL,Belgium,0.54282664,0.547404258,0.546396383,0.538819078,0.540854619,0.54962734,0.553787665,0.561231297,0.553175533,0.552673261,0.545902157,0.570521628,0.576999866,0.586476457,0.593612539,0.58748838,0.589799472,0.596472007,0.602423644,0.613910041,0.614530932,0.60578864,0.600000949,0.592797309,0.593296738,0.600662947
BLZ,Belize,0.374134035,0.382405399,0.377954224,0.379861328,0.375913617,0.373283541,0.373338089,0.373880256,0.382854158,0.369401934,0.391216526,0.337243947,0.338469436,0.336368173,0.33566468,0.334590411,0.324364655,0.3306237,0.333009514,0.332637916,0.333070578,0.330157098,0.330428643,0.32954574,0.329144616,0.334759599
BEN,Benin,0.35590409,0.355893313,0.354354033,0.352737622,0.352155169,0.351727837,0.347800886,0.343985918,0.343578901,0.335203647,0.317720914,0.303688317,0.307912012,0.30404229,0.292246812,0.275759824,0.279577164,0.276326301,0.288522115,0.290965972,0.305897964,0.31225385,0.323410536,0.333814102,0.329028276,0.336605948
BTN,Bhutan,0.372010169,0.372032803,0.373088471,0.374214329,0.373878683,0.373822361,0.374911805,0.37604752,0.390476746,0.379465996,0.391095393,0.378742695,0.398157207,0.407620095,0.401144926,0.392453195,0.391971603,0.395969667,0.403228278,0.431770964,0.435361318,0.464453185,0.478815019,0.47921558,0.479276945,0.476220953
BOL,"Bolivia, Plurinational State of",0.313772996,0.313996226,0.319736084,0.322661224,0.316629725,0.309268068,0.310889859,0.305283567,0.304920093,0.309749001,0.279476422,0.269898139,0.274439194,0.27545917,0.276187624,0.280898849,0.285281323,0.277356659,0.285800625,0.28197084,0.278515677,0.282392335,0.287827403,0.289821863,0.281345127,0.286764268
BIH,Bosnia and Herzegovina,0.340277806,0.340396774,0.336535298,0.332698331,0.334875145,0.339189589,0.346951994,0.347796717,0.346362607,0.361490247,0.347189107,0.324545652,0.327562805,0.336369217,0.336717773,0.337220576,0.345851295,0.351866399,0.364405481,0.381140011,0.369804685,0.373693773,0.378506375,0.376403337,0.367510818,0.36240833
BWA,Botswana,0.376189466,0.376526663,0.378004509,0.379624254,0.379779844,0.380676849,0.379722905,0.377777329,0.395884091,0.384853732,0.398790863,0.385205781,0.388436318,0.392104689,0.394902202,0.392015964,0.390991613,0.398680638,0.405745283,0.424822714,0.421423291,0.437348254,0.431060878,0.430106762,0.43325197,0.432771277
BRA,Brazil,0.35156856,0.350868542,0.352247797,0.353479005,0.358868959,0.36411625,0.366615709,0.371384561,0.369291334,0.363649291,0.370718805,0.401607051,0.405618054,0.413474904,0.426832374,0.443601556,0.446572145,0.445430574,0.444402383,0.359200722,0.353121547,0.356264178,0.34986193,0.348293411,0.353214951,0.35771469
BRN,Brunei Darussalam,0.441199185,0.442552462,0.435516533,0.428714225,0.433020356,0.436568838,0.439785727,0.439166607,0.441770091,0.450484282,0.460974839,0.52789444,0.445967948,0.451297596,0.476506491,0.474944989,0.475701729,0.476642839,0.485230571,0.505994769,0.494690974,0.499195254,0.499703258,0.523978212,0.515979133,0.533100629
BGR,Bulgaria,0.393052059,0.401013809,0.423079853,0.421824687,0.419590753,0.413456297,0.415626411,0.427739232,0.434128271,0.437046899,0.439532077,0.436943377,0.441569415,0.441713862,0.44775097,0.442978611,0.44707619,0.451252604,0.456012117,0.465662049,0.467295913,0.465667342,0.46569987,0.464725563,0.46817589,0.464001251
